airline_name,author,Destination Country,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,value_money_rating,Month,Year,recommended
adria-airways,D Ito,Germany,Economy,7,4,4,4,0,4,4,2015,Yes
adria-airways,Ron Kuhlmann,United States,Business Class,10,4,5,4,1,5,1,2015,Yes
adria-airways,E Albin,Switzerland,Economy,9,5,5,4,0,5,9,2014,Yes
adria-airways,Tercon Bojan,Singapore,Business Class,8,4,4,3,1,4,9,2014,Yes
adria-airways,L James,Poland,Economy,4,4,2,1,2,2,6,2014,No
adria-airways,Dzano Edin,Germany,Economy,9,4,4,3,3,4,6,2014,Yes
adria-airways,M Tushishvili,France,Economy,5,4,4,1,0,3,6,2014,Yes
adria-airways,M Znidar,Slovenia,Economy,9,5,5,4,3,4,5,2014,Yes
adria-airways,Tercon Bojan,Singapore,Business Class,8,4,3,4,1,4,1,2014,Yes
adria-airways,M Znidar,Slovenia,Economy,10,5,5,4,4,4,1,2014,Yes
adria-airways,Aytek Cingitas,Turkey,Economy,9,4,4,4,4,4,10,2013,Yes
adria-airways,Hashim Azlan,Malaysia,Economy,7,4,5,3,3,5,8,2013,Yes
adria-airways,L Stefan,Canada,Economy,8,4,4,4,0,4,8,2013,Yes
adria-airways,Tercon Bojan,Singapore,Business Class,7,3,3,4,1,4,8,2013,Yes
adria-airways,Michael Asher,Turkey,Business Class,7,2,5,4,0,4,6,2013,Yes
adria-airways,M Tushishvili,France,Economy,5,4,4,1,0,4,5,2013,Yes
adria-airways,Georgios Vrontos,Greece,Economy,9,4,5,4,0,2,10,2012,Yes
aegean-airlines,Eric Botha,United Kingdom,Business Class,8,4,5,4,2,4,7,2015,Yes
aegean-airlines,Teresa McCann,United Kingdom,Economy,9,4,5,3,2,5,7,2015,Yes
aegean-airlines,J Adams,Canada,Economy,10,5,5,4,3,4,6,2015,Yes
aegean-airlines,Sean Kyte,United Kingdom,Economy,8,4,5,4,0,4,6,2015,Yes
aegean-airlines,Ilias Vounelakis,Greece,Economy,10,4,5,5,3,4,5,2015,Yes
aegean-airlines,H Mung,United Kingdom,Economy,9,4,4,3,0,4,5,2015,Yes
aegean-airlines,I Magouras,Switzerland,Business Class,10,4,5,5,0,5,5,2015,Yes
aegean-airlines,D Kotremagias,Sweden,Economy,7,4,4,3,2,5,5,2015,Yes
